file	parliament_year	chamber	column	line	text
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00001/mot_1876__fk__00001_003.pdf	1876	fk	1	27	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00001/mot_1876__fk__00001_003.pdf	1876	fk	1	36	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00014/mot_1876__fk__00014_002.pdf	1876	fk	1	4	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00014/mot_1876__fk__00014_002.pdf	1876	fk	1	10	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00014/mot_1876__fk__00014_002.pdf	1876	fk	1	12	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00046/mot_1876__fk__00046_003.pdf	1876	fk	1	7	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00046/mot_1876__fk__00046_003.pdf	1876	fk	1	15	
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00046/mot_1876__fk__00046_003.pdf	1876	fk	1	16	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00004/mot_1877__ak__00004_002.pdf	1877	ak	1	9	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00004/mot_1877__ak__00004_002.pdf	1877	ak	1	18	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00004/mot_1877__ak__00004_002.pdf	1877	ak	1	21	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00078/mot_1877__ak__00078_002.pdf	1877	ak	1	8	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00078/mot_1877__ak__00078_002.pdf	1877	ak	1	22	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00078/mot_1877__ak__00078_002.pdf	1877	ak	1	24	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__fört/mot_1877__ak__fört_004.pdf	1877	ak	1	10	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__fört/mot_1877__ak__fört_004.pdf	1877	ak	1	27	
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__fört/mot_1877__ak__fört_004.pdf	1877	ak	1	30	
