motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1916/mot-1916--ak--00270.xml;Stockholm den 13 april 1916.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1917/mot-1917--ak--00142.xml;Stockholm den 25 januari 1917.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1917/mot-1917--ak--00404.xml;Stockholm den 18 april 1917.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1917/mot-1917--fk--00018.xml;Stockholm den 18 april 1917.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1918/mot-1918--ak--00022.xml;Stockholm den 22 januari 1918.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1918/mot-1918--ak--00281.xml;Stockholm den 5 februari 1918.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1918/mot-1918--fk--00084.xml;Stockholm den 26 januari 1918.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1919/mot-1919--ak--00024.xml;Stockholm den 16 januari 1919.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1919/mot-1919--ak--00129.xml;Stockholm den 20 januari 1919.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1919/mot-1919--ak--00348.xml;Stockholm den 18 mars 1919.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1920/mot-1920--ak--00039.xml;Stockholm den 16 januari 1920.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1920/mot-1920--ak--00071.xml;Stockholm den 20 januari 1920.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1920/mot-1920--ak--00276.xml;Stockholm den 27 jan. 1920.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1921/mot-1921--ak--00040.xml;Stockholm den 19 januari 1921.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1921/mot-1921--ak--00138.xml;Stockholm den 20 januari 1921.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1921/mot-1921--fk--00157.xml;Stockholm den 31 januari 1921.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1922/mot-1922--ak--00061.xml;Stockholm den 16 januari 1922.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1922/mot-1922--ak--00137.xml;Stockholm den 21 januari 1922. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1922/mot-1922--fk--00114.xml;Stockholm den 14 mars 1922.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1923/mot-1923--ak--00205.xml;Stockholm den 5 februari 1923.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1923/mot-1923--fk--00027.xml;Stockholm den 19 januari 1923.
